tx_hash,chain,from_address,to_address,value_eth,gas_used,gas_price,timestamp,block_number,status
0xeaf1ebfa01ff89662bb4fb9ccfba33d55e74dd90b9a5eec75bcba33f45932b44,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xe61cc263d2c84f340a88fe92508d591abb71c157,0.00517484,21276,20000000,1786652705,494223028,Success
0x199f3786fc2c4c641c473b1e3d87756216d922f2c2adbf83306504dd7e12bead,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xeee68ce7c933b3dd7f3d993dcbbed487afc6ed69,0.00050982,21297,20000000,1786652185,494220953,Success
0xa8377d609ec24f7eeb4d4012dac0b2e500771a94e34bb28ea1e0627c67356a01,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x0cd88dccfa3d1fc6f81f8c9bec913dc242fc48a3,0.00481429,21252,20160000,1786651707,494219051,Success
0x018ebf412a6b428c6c8f5ad563a9fd2c63cb04cfde5a28bc0c016f06d2b57d0c,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x4bf8e7d7e6a8a34c75cb26a87b295085f4145a27,0.000995,21230,20000000,1786651253,494217249,Success
0xcd07e6e7f0b0745e39cbd97ce1956a7b094540b84a8fb32aa862894c10dfb252,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x6d86a73a7511523671f2d44811945ffc3143a714,0.03284814,21271,20058000,1786650210,494213110,Success
0x2c7a5256339c0fc6533ea44bda7eeb71be0c60f97907cfbf062bb215c955fe27,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x765fd3ac2fbccbca8d4a844a4e062ded30e5a4af,0.06751239,21220,20034000,1786648862,494207725,Success
0x437c1a68dfa2e181d3430a77453f9ff6712457b5c3c0988350b5e56c197da391,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x468c4ff68c522255fb52d35e00c3bb273207b8d9,0.00897101,21182,20106000,1786648105,494204696,Success
0xd02f50bb5b9503213f2aa7a8d8c7dc4f7c79e696424b43c3f0b61d592816e11a,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xd4a4779c8707e4b94c037132f5b3d1cd08e065bd,0.1333465,21242,20056000,1786647113,494200737,Success
0x90611e8ae9c9e2f65c36b417572237a7fea655b74a254a49bb67d870d82a23c4,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x49fb2dace5a9b8e101a06c02a56f5135966a5d5c,0.00248,21196,20012000,1786646212,494197154,Success
0xd1c6af2a37347add54982735dd821e3af899c9ba3a0c88e74d56c37a75635381,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xf21b75a61d43a322beb8450a8c93726e15f7a958,0.25303987,21231,20052000,1786645465,494194174,Success
0x8666d2e77743a1f94abf3b3b93d82c74ccf8c290ac8570c13cd0468090509b07,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x8716008ba860646ae9eab7ec6b9d2d3f0b476049,0.00028,21231,20012000,1786644780,494191451,Success
0xf18e65c24772daff6b96f75dbd2c59cd8dde597119b0be8e66f35a2335334bd0,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x07281d3c51066dc7d3860f15c155e5c8e89a8e8d,0.02000576,21266,20064000,1786643859,494187771,Success
0x88ac80bcb4e0505c9279ca2a4eb1349a9cc39b168ee683edc5c606e70ee67011,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x3e57b6e32d2784190f75a3a076ad7911eb6980af,0.00313408,21214,20134000,1786643452,494186151,Success
0xf2b7c11faac9ac973f186777cb03cf7080a16dc561b846a02d6d2a2fa8b36f26,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x3e57b6e32d2784190f75a3a076ad7911eb6980af,0.15758,21243,20050000,1786642360,494181796,Success
0xefaa629ac567159bd3ed544a1babcad94258b09ed73afab7f29d11f17601b48e,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xbe758bcdf0a46cc2f5c3344c47dfbad124f545a4,0.19998,21334,20012000,1786641546,494178546,Success
0x301f9335391ebc0b7945f7f18854644ff8a1f08e29c0b7a7722207f285788785,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x26680cef9fdb285ae9075ee4713195eed74609cb,0.02,21591,20020000,1786640872,494175855,Success
0xa1fa4452534e38d95ac629d479b969e77f4cae2e699e20a42a550fde37fd79f5,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x88a291722110da365b2b9a3996d38cfe96256c6b,0.53556766,21367,20094000,1786639750,494171375,Success
0xdacc1c6f5fa9359688306ae7989a4db61db26753c0ea0f265ac98a131da39f11,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x2878d8e47fdd2f4f37bd2e9623b9ee1b738a0b0c,0.44444427,21250,20286000,1786639289,494169524,Success
0x5082aa35585994289669ca54561fe708c4de72a80ad5ebd7b64e6cbcf02c1d79,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xbe0562201362d5adea1b0c678406d70432d33d8d,3.02967203,21285,20036000,1786638931,494168092,Success
